Temp(K)	    k(W/m-K)
961.0	      4.15
962.0	      4.15
963.0	      4.15
964.0	      4.14
965.0	      4.14
966.0	      4.14
967.0	      4.13
968.0	      4.13
969.0	      4.12
970.0	      4.12
971.0	      4.12
972.0	      4.11
973.0	      4.11
974.0	      4.11
975.0	      4.1
976.0	      4.1
977.0	      4.1
978.0	      4.09
979.0	      4.09
980.0	      4.09
981.0	      4.08
982.0	      4.08
983.0	      4.07
984.0	      4.07
985.0	      4.07
986.0	      4.06
987.0	      4.06
988.0	      4.06
989.0	      4.05
990.0	      4.05
991.0	      4.05
992.0	      4.04
993.0	      4.04
994.0	      4.04
995.0	      4.03
996.0	      4.03
997.0	      4.03
998.0	      4.02
999.0	      4.02
1000.0	     4.01
1001.0	     4.01
1002.0	     4.01
1003.0	     4.0
1004.0	     4.0
1005.0	     4.0
1006.0	     3.99
1007.0	     3.99
1008.0	     3.99
1009.0	     3.98
1010.0	     3.98
1011.0	     3.98
1012.0	     3.97
1013.0	     3.97
1014.0	     3.97
1015.0	     3.96
1016.0	     3.96
1017.0	     3.96
1018.0	     3.95
1019.0	     3.95
1020.0	     3.95
1021.0	     3.94
1022.0	     3.94
1023.0	     3.94
1024.0	     3.93
1025.0	     3.93
1026.0	     3.93
1027.0	     3.92
1028.0	     3.92
1029.0	     3.92
1030.0	     3.91
1031.0	     3.91
1032.0	     3.91
1033.0	     3.9
1034.0	     3.9
1035.0	     3.9
1036.0	     3.89
1037.0	     3.89
1038.0	     3.89
1039.0	     3.88
1040.0	     3.88
1041.0	     3.88
1042.0	     3.87
1043.0	     3.87
1044.0	     3.87
1045.0	     3.86
1046.0	     3.86
1047.0	     3.86
1048.0	     3.85
1049.0	     3.85
1050.0	     3.85
1051.0	     3.84
1052.0	     3.84
1053.0	     3.84
1054.0	     3.84
1055.0	     3.83
1056.0	     3.83
1057.0	     3.83
1058.0	     3.82
1059.0	     3.82
1060.0	     3.82
1061.0	     3.81
1062.0	     3.81
1063.0	     3.81
1064.0	     3.8
1065.0	     3.8
1066.0	     3.8
1067.0	     3.79
1068.0	     3.79
1069.0	     3.79
1070.0	     3.78
1071.0	     3.78
1072.0	     3.78
1073.0	     3.78
1074.0	     3.77
1075.0	     3.77
1076.0	     3.77
1077.0	     3.76
1078.0	     3.76
1079.0	     3.76
1080.0	     3.75
1081.0	     3.75
1082.0	     3.75
1083.0	     3.74
1084.0	     3.74
1085.0	     3.74
1086.0	     3.74
1087.0	     3.73
1088.0	     3.73
1089.0	     3.73
1090.0	     3.72
1091.0	     3.72
1092.0	     3.72
1093.0	     3.71
1094.0	     3.71
1095.0	     3.71
1096.0	     3.7
1097.0	     3.7
1098.0	     3.7
1099.0	     3.7
1100.0	     3.69
1101.0	     3.69
1102.0	     3.69
1103.0	     3.68
1104.0	     3.68
1105.0	     3.68
1106.0	     3.68
1107.0	     3.67
1108.0	     3.67
1109.0	     3.67
1110.0	     3.66
1111.0	     3.66
1112.0	     3.66
1113.0	     3.65
1114.0	     3.65
1115.0	     3.65
1116.0	     3.65
1117.0	     3.64
1118.0	     3.64
1119.0	     3.64
1120.0	     3.63
1121.0	     3.63
1122.0	     3.63
1123.0	     3.63
1124.0	     3.62
1125.0	     3.62
1126.0	     3.62
1127.0	     3.61
1128.0	     3.61
1129.0	     3.61
1130.0	     3.61
1131.0	     3.6
1132.0	     3.6
1133.0	     3.6
1134.0	     3.59
1135.0	     3.59
1136.0	     3.59
1137.0	     3.59
1138.0	     3.58
1139.0	     3.58
1140.0	     3.58
1141.0	     3.57
1142.0	     3.57
1143.0	     3.57
1144.0	     3.57
1145.0	     3.56
1146.0	     3.56
1147.0	     3.56
1148.0	     3.55
1149.0	     3.55
1150.0	     3.55
1151.0	     3.55
1152.0	     3.54
1153.0	     3.54
1154.0	     3.54
1155.0	     3.53
1156.0	     3.53
1157.0	     3.53
1158.0	     3.53
1159.0	     3.52
1160.0	     3.52
1161.0	     3.52
1162.0	     3.52
1163.0	     3.51
1164.0	     3.51
1165.0	     3.51
1166.0	     3.5
1167.0	     3.5
1168.0	     3.5
1169.0	     3.5
1170.0	     3.49
1171.0	     3.49
1172.0	     3.49
1173.0	     3.49
1174.0	     3.48
1175.0	     3.48
